date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:10	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Apr%202022%2022:17:55%20GMT	https://basketbros.io/robots.txt		(from )
17:18:10	12610/12610	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2022:17:55%20GMT	https://basketbros.io/	C:/My%20Web%20Sites/baskertbross/basketbros.io/index.html	(from )
17:18:10	2971/2971	---M--	200	added ('OK')	image/png	etag:%225e6a7030-b9b%22	https://basketbros.io/favicon.png	C:/My%20Web%20Sites/baskertbross/basketbros.io/favicon.png	(from https://basketbros.io/)
17:18:10	4196611/4196611	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624a2542-400903%22	https://basketbros.io/BasketBros.js?th=251	C:/My%20Web%20Sites/baskertbross/basketbros.io/BasketBroscc8d.js	(from https://basketbros.io/)
17:18:13	9138/9138	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a393ad4e03deeab316f7121a80708ce6%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	C:/My%20Web%20Sites/baskertbross/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://basketbros.io/)
17:18:13	3514/3514	---M--	200	added ('OK')	image/png	etag:%2262311839-dba%22	https://basketbros.io/assets/loading.png	C:/My%20Web%20Sites/baskertbross/basketbros.io/assets/loading.png	(from https://basketbros.io/)
17:18:13	4234/4234	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2022:17:58%20GMT	https://basketbros.io/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/baskertbross/basketbros.io/cdn-cgi/l/email-protection.html	(from https://basketbros.io/)
17:18:13	476/476	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2022:17:59%20GMT	https://basketbros.io/mirrors.php	C:/My%20Web%20Sites/baskertbross/basketbros.io/mirrors.html	(from https://basketbros.io/)
17:18:14	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624f0dab-4d7%22	https://basketbros.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/baskertbross/basketbros.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://basketbros.io/)
17:18:17	429972/429972	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624efdb9-68f94%22	http://api.adinplay.com/libs/aiptag/pub/DGZ/basketbros.io/tag.min.js	C:/My%20Web%20Sites/baskertbross/api.adinplay.com/libs/aiptag/pub/DGZ/basketbros.io/tag.min.js	(from https://basketbros.io/)
